#TYPE Selected.System.Management.Automation.PSCustomObject
"ProcessName","OwningProcess","SecurityRisk","State"
"ProcessName","Id",," "
"System","4",,"Listen "
"Microsoft.SharePoint","16800",,"Listen "
"System","4",,"Listen "
"System","4",,"Listen "
"System","4",,"Listen "
"services","988",,"Listen "
"jhi_service","5828",,"Listen "
"lsass","1008",,"Listen "
"spoolsv","5404",,"Listen "
"svchost","2224",,"Listen "
"svchost","84",,"Listen "
"wininit","916",,"Listen "
"lsass","1008",,"Listen "
"System","4",,"Listen "
"svchost","1320",,"Listen "
"GitHubDesktop","28228",,"Listen "
"LTTray","16216",,"Listen "
"LTSVC","1868",,"Listen "
"WRSA","2900",,"Listen "
"AppleMobileDeviceService","5532",,"Listen "
"AnyDesk","5656",,"Listen "
"TeamViewer_Service","7200",,"Listen "
"mDNSResponder","5564",,"Listen "
"svchost","8908",,"Listen "
"services","988",,"Listen "
"lsass","1008",,"Listen "
"spoolsv","5404",,"Listen "
"svchost","2224",,"Listen "
"svchost","84",,"Listen "
"wininit","916",,"Listen "
"lsass","1008",,"Listen "
"System","4",,"Listen "
"System","4",,"Listen "
"System","4",,"Listen "
"svchost","1320",,"Listen "
