#TYPE System.Object
"ProcessName","OwningProcess","State","SecurityRisk"
"ProcessName","OwningProcess","State","Something else"
"ProcessName","Id"," ","Something else"
"System","4","Listen ","Windows Essential"
"Microsoft.SharePoint","16800","Listen ","Something else"
"System","4","Listen ","Windows Essential"
"System","4","Listen ","Windows Essential"
"System","4","Listen ","Windows Essential"
"services","988","Listen ","Something else"
"jhi_service","5828","Listen ","Something else"
"lsass","1008","Listen ","Something else"
"spoolsv","5404","Listen ","Something else"
"svchost","2224","Listen ","Something else"
"svchost","84","Listen ","Something else"
"wininit","916","Listen ","Something else"
"lsass","1008","Listen ","Something else"
"System","4","Listen ","Windows Essential"
"svchost","1320","Listen ","Something else"
"GitHubDesktop","28228","Listen ","Something else"
"LTTray","16216","Listen ","Something else"
"LTSVC","1868","Listen ","Something else"
"WRSA","2900","Listen ","Something else"
"AppleMobileDeviceService","5532","Listen ","Something else"
"AnyDesk","5656","Listen ","Something else"
"TeamViewer_Service","7200","Listen ","Something else"
"mDNSResponder","5564","Listen ","Something else"
"svchost","8908","Listen ","Something else"
"services","988","Listen ","Something else"
"lsass","1008","Listen ","Something else"
"spoolsv","5404","Listen ","Something else"
"svchost","2224","Listen ","Something else"
"svchost","84","Listen ","Something else"
"wininit","916","Listen ","Something else"
"lsass","1008","Listen ","Something else"
"System","4","Listen ","Windows Essential"
"System","4","Listen ","Windows Essential"
"System","4","Listen ","Windows Essential"
"svchost","1320","Listen ","Something else"
