#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","AppliedSetting","OwningProcess"
"::","47001","::","0","Listen",,"4"
"::1","42050","::","0","Listen",,"16800"
"::","5985","::","0","Listen",,"4"
"::","5357","::","0","Listen",,"4"
"::","2869","::","0","Listen",,"4"
"::","1637","::","0","Listen",,"988"
"::1","1553","::","0","Listen",,"5828"
"::","1548","::","0","Listen",,"1008"
"::","1547","::","0","Listen",,"5404"
"::","1539","::","0","Listen",,"2224"
"::","1538","::","0","Listen",,"84"
"::","1537","::","0","Listen",,"916"
"::","1536","::","0","Listen",,"1008"
"::","445","::","0","Listen",,"4"
"::","135","::","0","Listen",,"1320"
"127.0.0.1","44270","0.0.0.0","0","Listen",,"28228"
"127.0.0.1","42001","0.0.0.0","0","Listen",,"16216"
"127.0.0.1","42000","0.0.0.0","0","Listen",,"1868"
"127.0.0.1","27019","0.0.0.0","0","Listen",,"2900"
"127.0.0.1","27015","0.0.0.0","0","Listen",,"5532"
"0.0.0.0","7070","0.0.0.0","0","Listen",,"5656"
"127.0.0.1","5939","0.0.0.0","0","Listen",,"7200"
"127.0.0.1","5354","0.0.0.0","0","Listen",,"5564"
"0.0.0.0","5040","0.0.0.0","0","Listen",,"8908"
"0.0.0.0","1637","0.0.0.0","0","Listen",,"988"
"0.0.0.0","1548","0.0.0.0","0","Listen",,"1008"
"0.0.0.0","1547","0.0.0.0","0","Listen",,"5404"
"0.0.0.0","1539","0.0.0.0","0","Listen",,"2224"
"0.0.0.0","1538","0.0.0.0","0","Listen",,"84"
"0.0.0.0","1537","0.0.0.0","0","Listen",,"916"
"0.0.0.0","1536","0.0.0.0","0","Listen",,"1008"
"192.168.56.1","139","0.0.0.0","0","Listen",,"4"
"192.168.0.15","139","0.0.0.0","0","Listen",,"4"
"10.13.0.2","139","0.0.0.0","0","Listen",,"4"
"0.0.0.0","135","0.0.0.0","0","Listen",,"1320"
