#TYPE Selected.System.Diagnostics.Process
"ProcessName","Id"
"System","4"
"Microsoft.SharePoint","16800"
"System","4"
"System","4"
"System","4"
"services","988"
"jhi_service","5828"
"lsass","1008"
"spoolsv","5404"
"svchost","2224"
"svchost","84"
"wininit","916"
"lsass","1008"
"System","4"
"svchost","1320"
"GitHubDesktop","28228"
"LTTray","16216"
"LTSVC","1868"
"WRSA","2900"
"AppleMobileDeviceService","5532"
"AnyDesk","5656"
"TeamViewer_Service","7200"
"mDNSResponder","5564"
"svchost","8908"
"services","988"
"lsass","1008"
"spoolsv","5404"
"svchost","2224"
"svchost","84"
"wininit","916"
"lsass","1008"
"System","4"
"System","4"
"System","4"
"svchost","1320"
